date,crime_count,day,month,year,day_of_week,is_weekend
2002-08-02,1454,2,8,2002,4,0
2002-08-03,1462,3,8,2002,5,1
2002-08-04,1409,4,8,2002,6,1
2002-08-05,1425,5,8,2002,0,0
2002-08-06,1468,6,8,2002,1,0
2002-08-07,1396,7,8,2002,2,0
2002-08-08,1390,8,8,2002,3,0
2002-08-09,1478,9,8,2002,4,0
2002-08-10,1462,10,8,2002,5,1
2002-08-11,1504,11,8,2002,6,1
2002-08-12,1466,12,8,2002,0,0
2002-08-13,1424,13,8,2002,1,0
2002-08-14,1382,14,8,2002,2,0
2002-08-15,1415,15,8,2002,3,0
2002-08-16,1432,16,8,2002,4,0
2002-08-17,1495,17,8,2002,5,1
2002-08-18,1378,18,8,2002,6,1
2002-08-19,1316,19,8,2002,0,0
2002-08-20,1387,20,8,2002,1,0
2002-08-21,1353,21,8,2002,2,0
2002-08-22,1357,22,8,2002,3,0
2002-08-23,1467,23,8,2002,4,0
2002-08-24,1454,24,8,2002,5,1
2002-08-25,1325,25,8,2002,6,1
2002-08-26,1450,26,8,2002,0,0
2002-08-27,1430,27,8,2002,1,0
2002-08-28,1449,28,8,2002,2,0
2002-08-29,1284,29,8,2002,3,0
2002-08-30,1445,30,8,2002,4,0
2002-08-31,1371,31,8,2002,5,1
2002-09-01,1552,1,9,2002,6,1
2002-09-02,1364,2,9,2002,0,0
2002-09-03,1439,3,9,2002,1,0
2002-09-04,1389,4,9,2002,2,0
2002-09-05,1408,5,9,2002,3,0
2002-09-06,1559,6,9,2002,4,0
2002-09-07,1446,7,9,2002,5,1
2002-09-08,1369,8,9,2002,6,1
2002-09-09,1352,9,9,2002,0,0
2002-09-10,1321,10,9,2002,1,0
2002-09-11,1394,11,9,2002,2,0
2002-09-12,1313,12,9,2002,3,0
2002-09-13,1477,13,9,2002,4,0
2002-09-14,1450,14,9,2002,5,1
2002-09-15,1412,15,9,2002,6,1
2002-09-16,1385,16,9,2002,0,0
2002-09-17,1475,17,9,2002,1,0
2002-09-18,1387,18,9,2002,2,0
2002-09-19,1435,19,9,2002,3,0
2002-09-20,1596,20,9,2002,4,0
2002-09-21,1398,21,9,2002,5,1
2002-09-22,1376,22,9,2002,6,1
2002-09-23,1293,23,9,2002,0,0
2002-09-24,1333,24,9,2002,1,0
2002-09-25,1392,25,9,2002,2,0
2002-09-26,1413,26,9,2002,3,0
2002-09-27,1459,27,9,2002,4,0
2002-09-28,1402,28,9,2002,5,1
2002-09-29,1413,29,9,2002,6,1
2002-09-30,1391,30,9,2002,0,0
2002-10-01,1763,1,10,2002,1,0
2002-10-02,1469,2,10,2002,2,0
2002-10-03,1438,3,10,2002,3,0
2002-10-04,1536,4,10,2002,4,0
2002-10-05,1410,5,10,2002,5,1
2002-10-06,1387,6,10,2002,6,1
2002-10-07,1282,7,10,2002,0,0
2002-10-08,1381,8,10,2002,1,0
2002-10-09,1456,9,10,2002,2,0
2002-10-10,1367,10,10,2002,3,0
2002-10-11,1561,11,10,2002,4,0
2002-10-12,1406,12,10,2002,5,1
2002-10-13,1148,13,10,2002,6,1
2002-10-14,1341,14,10,2002,0,0
2002-10-15,1464,15,10,2002,1,0
2002-10-16,1321,16,10,2002,2,0
2002-10-17,1326,17,10,2002,3,0
2002-10-18,1444,18,10,2002,4,0
2002-10-19,1365,19,10,2002,5,1
2002-10-20,1340,20,10,2002,6,1
2002-10-21,1351,21,10,2002,0,0
2002-10-22,1262,22,10,2002,1,0
2002-10-23,1357,23,10,2002,2,0
